run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,attempt,duration_seconds,forecast_aligned_seconds,mae_rps,rmse_rps,bias_rps,transition_mae_rps,desired_replica_mae,desired_replica_bias,deficient_replica_seconds,excess_replica_seconds,ready_deficient_replica_seconds,scale_action_count,scale_up_action_count,scale_down_action_count,churn_magnitude_replicas,slo_violation_seconds,slo_violation_rate,slo_episode_count,maximum_slo_episode_seconds,latency_violation_seconds,failure_violation_seconds,completion_violation_seconds,request_count,request_p99_latency_ms,request_failure_count,request_failure_rate,mean_cpu_cores,max_cpu_cores,mean_readiness_delay_seconds,max_readiness_delay_seconds,readiness_delay_observations,pod_created_count,pod_ready_transition_count,ready_source,pod_event_source,normalized_kubernetes_record_coverage_ratio,kubernetes_snapshot_valid_ratio
final-p04-a-r02-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,2,False,1,480,474,1.0126582278481013,2.8462722678592804,1.0126582278481013,0.0,0.11458333333333333,0.11458333333333333,0,55,0,5,3,2,5,70,0.14583333333333334,63,2,0,0,70,19350,36.39195999999985,0,0.0,0.5222737392696667,0.835804720411091,2.3333333333333335,3,3,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p05-b-r02-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,2,False,2,720,714,0.29956431372549036,0.726681042587531,-1.3932210505100003e-16,0.33865745666666686,0.0,0.0,0,0,0,22,11,11,22,100,0.1388888888888889,98,2,0,0,100,28500,27.81911999999998,0,0.0,0.5118671903018861,0.7363111368744568,1.0909090909090908,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p06-b-r02-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,2,False,2,720,714,6.5294117815126045,7.361835586127132,0.0,7.667916686666666,0.4583333333333333,0.0,165,165,103,22,11,11,22,102,0.14166666666666666,98,2,0,0,102,28500,32.427539999999915,0,0.0,0.503036169284839,0.7470811629126816,0.36363636363636365,1,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9611111111111111,1.0
final-p01-b-r02-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,2,False,1,360,354,5.0,5.0,5.0,5.0,0.0,0.0,0,0,0,4,1,3,6,13,0.03611111111111111,13,1,0,0,13,15300,34.17733000000001,0,0.0,0.5433021616791416,0.8403442434753251,2.0,2,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9972222222222222,1.0
final-oracle-ramp-r02-s0,step15,reference,reference-oracle,reference,oracle,gradual-ramp-v1,2,False,2,480,474,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,3,3,6,64,0.13333333333333333,62,2,0,0,64,19350,29.102159999999976,0,0.0,0.5134283815233192,0.8353256909200718,2.3333333333333335,3,3,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9979166666666667,1.0
final-p02-a-r02-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,2,False,1,360,354,2.9661016949152543,10.188893920442684,2.9661016949152543,17.5,0.25,0.25,0,90,0,4,1,3,6,13,0.03611111111111111,13,1,0,0,13,15300,35.89930000000003,0,0.0,0.5404832684872487,0.8384298395664611,2.0,2,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9972222222222222,1.0
final-p05-a-r02-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,2,False,2,720,714,0.29956431372549036,0.7266810425875311,1.3932210505100003e-16,0.33865745666666686,0.0,0.0,0,0,0,22,11,11,22,91,0.12638888888888888,88,2,0,0,91,28500,28.03231999999995,0,0.0,0.5153919656639895,0.7333820857988593,1.0,1,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9902777777777778,1.0
final-p01-a-r02-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,2,False,1,360,354,5.0,5.0,-5.0,5.0,0.5861111111111111,-0.5861111111111111,211,0,180,3,1,2,4,16,0.044444444444444446,16,1,0,0,16,15300,45.326090000000065,0,0.0,0.5418137354356731,0.8343684221898396,3.0,3,1,2,2,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p06-a-r02-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,2,False,1,720,714,6.5294117815126045,7.361835586127132,0.0,7.653333353333332,0.4583333333333333,0.0,165,165,0,22,11,11,22,103,0.14305555555555555,99,2,0,0,103,28500,27.703159999999976,0,0.0,0.5079955311083643,0.7546566506967054,0.5454545454545454,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9680555555555556,1.0
final-oracle-sustain-r02-s0,step15,reference,reference-oracle,reference,oracle,sustained-peak-v1,2,False,1,360,354,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,3,6,8,0.022222222222222223,8,1,0,0,8,15300,33.96913,0,0.0,0.544202429485516,0.8378745766283509,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9888888888888889,1.0
final-oracle-periodic-r02-s0,step15,reference,reference-oracle,reference,oracle,periodic-triangle-v1,2,False,1,720,714,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,22,11,11,22,103,0.14305555555555555,100,2,0,0,103,28500,28.35101,0,0.0,0.509142112537709,0.7360162318089427,0.5454545454545454,1,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.975,1.0
final-oracle-spike-r02-s0,step15,reference,reference-oracle,reference,oracle,narrow-spike-v1,2,False,1,180,174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,3,6,7,0.03888888888888889,6,2,0,0,7,5550,26.715440000000008,0,0.0,0.35547015023705064,0.6470304159749674,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9722222222222222,1.0
