baseline_replicas,cache_treatment,controller_decision_utc,decision_delay_ms,deployment_update_from_forecast_ms,directory,forecast_available_utc,increment,new_pod_count,poll_milliseconds,probe_attempts,repetition,run_id,scale_api_roundtrip_ms,scale_request_ack_utc,scale_request_sent_utc,schema_version,target_replicas,timeout_seconds,trial_effective_serving_delay_s,trial_readiness_delay_s,valid
1,cached-main,2026-08-03T18:52:54.1308021Z,0,201.16510000000002,step6\runs\cached-main-1to3-rep01-20260803-235245,2026-08-03T18:52:54.1308021Z,2,2,100,9,1,cached-main-1to3-rep01-20260803-235245,200.7971,2026-08-03T18:52:54.3319672Z,2026-08-03T18:52:54.1313571Z,1,3,60,3.8620706,2.1208331000000005,True
1,cached-main,2026-08-03T18:53:58.2370326Z,3.0311000000000003,146.1291,step6\runs\cached-main-1to3-rep02-20260803-235341,2026-08-03T18:53:58.2340015Z,2,2,100,8,2,cached-main-1to3-rep02-20260803-235341,141.8735,2026-08-03T18:53:58.3801306Z,2026-08-03T18:53:58.2370326Z,1,3,180,2.9430080000000003,1.9092817,True
1,cached-main,2026-08-03T18:55:58.6505416Z,0,144.78650000000002,step6\runs\cached-main-1to3-rep03-20260803-235540,2026-08-03T18:55:58.6505416Z,2,2,100,10,3,cached-main-1to3-rep03-20260803-235540,144.4105,2026-08-03T18:55:58.7953281Z,2026-08-03T18:55:58.6505416Z,1,3,180,3.4531063000000004,1.5190905000000001,True
1,cached-main,2026-08-03T18:56:44.8684054Z,0.5735,160.7422,step6\runs\cached-main-1to3-rep04-20260803-235626,2026-08-03T18:56:44.8678319Z,2,2,100,16,4,cached-main-1to3-rep04-20260803-235626,160.244,2026-08-03T18:56:45.0285741Z,2026-08-03T18:56:44.8684054Z,1,3,180,5.7150651,1.6514332000000003,True
1,cached-main,2026-08-03T18:57:35.5631676Z,0,150.0763,step6\runs\cached-main-1to3-rep05-20260803-235716,2026-08-03T18:57:35.5631676Z,2,2,100,10,5,cached-main-1to3-rep05-20260803-235716,149.2786,2026-08-03T18:57:35.7132439Z,2026-08-03T18:57:35.5641554Z,1,3,180,4.1321693999999995,2.2145766000000005,True
1,cached-main,2026-08-03T18:59:37.4168739Z,0,163.6679,step6\runs\cached-main-1to3-rep06-20260803-235919,2026-08-03T18:59:37.4168739Z,2,2,100,14,6,cached-main-1to3-rep06-20260803-235919,162.5646,2026-08-03T18:59:37.5805418Z,2026-08-03T18:59:37.4168739Z,1,3,180,5.1144051,1.6782451,True
1,cached-main,2026-08-03T19:00:26.6824349Z,0.5529000000000001,144.6364,step6\runs\cached-main-1to3-rep07-20260804-000008,2026-08-03T19:00:26.6818820Z,2,2,100,10,7,cached-main-1to3-rep07-20260804-000008,144.0646,2026-08-03T19:00:26.8265184Z,2026-08-03T19:00:26.6824349Z,1,3,180,3.2559768000000004,1.3454483,True
1,cached-main,2026-08-03T19:01:15.6332837Z,0.5875,151.65290000000002,step6\runs\cached-main-1to3-rep08-20260804-000056,2026-08-03T19:01:15.6326962Z,2,2,100,7,8,cached-main-1to3-rep08-20260804-000056,151.2973,2026-08-03T19:01:15.7843491Z,2026-08-03T19:01:15.6332837Z,1,3,180,3.0815203,1.8270862,True
1,cached-main,2026-08-03T19:03:15.0715202Z,0.5729000000000001,156.2187,step6\runs\cached-main-1to3-rep09-20260804-000256,2026-08-03T19:03:15.0709473Z,2,2,100,12,9,cached-main-1to3-rep09-20260804-000256,155.9635,2026-08-03T19:03:15.2271660Z,2026-08-03T19:03:15.0715202Z,1,3,180,5.1589155,2.25725,True
1,cached-main,2026-08-03T19:04:05.6011951Z,0,189.88830000000002,step6\runs\cached-main-1to3-rep10-20260804-000346,2026-08-03T19:04:05.6011951Z,2,2,100,13,10,cached-main-1to3-rep10-20260804-000346,188.6968,2026-08-03T19:04:05.7910834Z,2026-08-03T19:04:05.6011951Z,1,3,180,5.2187724,2.2703922000000003,True
