candidate_id,group,side,semantic,trace_id,mae_rps,rmse_rps,signed_bias_rps,maximum_absolute_error_rps,region_mae_rps,changed_decisions,peak_timing_error_s,peak_amplitude_error_rps,duration_error_s,parameters_json,forecast_path,forecast_sha256
narrow-spike-v1__event_presence__false__duration_s-20-magnitude_rps-25-peak_rps-50,event_presence,false,false_peak,narrow-spike-v1,2.77777777778,8.33333333333,2.77777777778,25,25,20,0,0,20,"{""duration_s"":20,""magnitude_rps"":25,""peak_rps"":50}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-20-magnitude_rps-25-peak_rps-50.forecast.csv,5a17a10380a0a1bd54da495664a3fc4d8c40d441dd96bfe83ff72eb34614523a
narrow-spike-v1__event_presence__false__duration_s-20-magnitude_rps-30-peak_rps-55,event_presence,false,false_peak,narrow-spike-v1,3.33333333333,10,3.33333333333,30,30,20,0,0,20,"{""duration_s"":20,""magnitude_rps"":30,""peak_rps"":55}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-20-magnitude_rps-30-peak_rps-55.forecast.csv,b12c67f3d34e0f9b71908cbdcecfa627a47af97ca40d5d6c71ff637a20e4c2cf
narrow-spike-v1__event_presence__false__duration_s-20-magnitude_rps-35-peak_rps-60,event_presence,false,false_peak,narrow-spike-v1,3.88888888889,11.6666666667,3.88888888889,35,35,20,-40,0,20,"{""duration_s"":20,""magnitude_rps"":35,""peak_rps"":60}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-20-magnitude_rps-35-peak_rps-60.forecast.csv,07c1e9b332315d400ff35c6b17777a7905b1faaa5b5e5c518b4ce3c181231be3
narrow-spike-v1__event_presence__false__duration_s-30-magnitude_rps-25-peak_rps-50,event_presence,false,false_peak,narrow-spike-v1,4.16666666667,10.2062072616,4.16666666667,25,25,30,0,0,30,"{""duration_s"":30,""magnitude_rps"":25,""peak_rps"":50}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-30-magnitude_rps-25-peak_rps-50.forecast.csv,e0a9e98ec4c9130365b410299231b9f1794fbf870d042e993d10d3691bbff41b
narrow-spike-v1__event_presence__false__duration_s-30-magnitude_rps-30-peak_rps-55,event_presence,false,false_peak,narrow-spike-v1,5,12.2474487139,5,30,30,30,0,0,30,"{""duration_s"":30,""magnitude_rps"":30,""peak_rps"":55}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-30-magnitude_rps-30-peak_rps-55.forecast.csv,4a3ef99fb9c5e342621d7c5455a2027048d624886be2006d9f7865fd981069aa
narrow-spike-v1__event_presence__false__duration_s-30-magnitude_rps-35-peak_rps-60,event_presence,false,false_peak,narrow-spike-v1,5.83333333333,14.2886901662,5.83333333333,35,35,30,-40,0,30,"{""duration_s"":30,""magnitude_rps"":35,""peak_rps"":60}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-30-magnitude_rps-35-peak_rps-60.forecast.csv,73a2811839f37535ed671911e0683e1d7b93aad722aad7ca62eb0995b8cfba4d
narrow-spike-v1__event_presence__false__duration_s-40-magnitude_rps-25-peak_rps-50,event_presence,false,false_peak,narrow-spike-v1,5.55555555556,11.7851130198,5.55555555556,25,25,40,0,0,40,"{""duration_s"":40,""magnitude_rps"":25,""peak_rps"":50}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-40-magnitude_rps-25-peak_rps-50.forecast.csv,3eb1bb8ed4c58c447dc15d387a52b50ce9472d76f0e5ce6a159537963648c0a9
narrow-spike-v1__event_presence__false__duration_s-40-magnitude_rps-30-peak_rps-55,event_presence,false,false_peak,narrow-spike-v1,6.66666666667,14.1421356237,6.66666666667,30,30,40,0,0,40,"{""duration_s"":40,""magnitude_rps"":30,""peak_rps"":55}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-40-magnitude_rps-30-peak_rps-55.forecast.csv,51fc0e2484f297d3fee293ef2fede1dd0d76c2dc0a23f31efae277016aad6e19
narrow-spike-v1__event_presence__false__duration_s-40-magnitude_rps-35-peak_rps-60,event_presence,false,false_peak,narrow-spike-v1,7.77777777778,16.4991582277,7.77777777778,35,35,40,-40,0,40,"{""duration_s"":40,""magnitude_rps"":35,""peak_rps"":60}",candidates/event_presence/false/narrow-spike-v1__event_presence__false__duration_s-40-magnitude_rps-35-peak_rps-60.forecast.csv,e74e23649e0d83cc26fd29d8f6ca13a81dec8ab86c49bc0fccfa396da0ec1750
gradual-ramp-v1__location__stable__duration_s-20-magnitude_rps-4-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.166666666667,0.816496580928,0.166666666667,4,4,20,0,0,0,"{""duration_s"":20,""magnitude_rps"":4,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-20-magnitude_rps-4-start_s-420.forecast.csv,7521c7555c8f2261784ac52315de1fd431ced1e39a7f0f4f9553dcfd16cde252
gradual-ramp-v1__location__transition__duration_s-20-magnitude_rps-4-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.166666666667,0.816496580928,0.166666666667,4,4,20,0,0,0,"{""duration_s"":20,""magnitude_rps"":4,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-20-magnitude_rps-4-start_s-60.forecast.csv,ba4868de71f0213cafeea68cbdbb6b241e1cf8773712853d5b7f88a9c57eca70
gradual-ramp-v1__location__stable__duration_s-20-magnitude_rps-6-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.25,1.22474487139,0.25,6,6,20,0,0,0,"{""duration_s"":20,""magnitude_rps"":6,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-20-magnitude_rps-6-start_s-420.forecast.csv,b0767e76dfc34ae2e62007f12067976ad508f36243e8e9fb168996825b0ac126
gradual-ramp-v1__location__transition__duration_s-20-magnitude_rps-6-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.25,1.22474487139,0.25,6,6,20,0,0,0,"{""duration_s"":20,""magnitude_rps"":6,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-20-magnitude_rps-6-start_s-60.forecast.csv,6d32f97bcfc09109da29be0665c25d2086674759eec983e22775a4a2de3b5619
