run,replicas,target_rps,completed,errors,failure_rate,completion_ratio,achieved_rps,average_ms,p50_ms,p95_ms,p99_ms,max_pod_cpu,max_throttle_ratio,pod_count,imbalance_ratio,pass,reasons
multipod-n3-r02-20260802-210825,3,135,15698,502,0.030987654320987653,0.9690123456790124,130.81666666666666,13.238882915021021,10.917,28.976,52.316,0.3482622758846925,0.23444444444444446,3,0.007070964454070582,False,"failures,throughput,throttling"
multipod-n3-r02-20260802-210825,3,149,15700,2180,0.12192393736017897,0.8780760626398211,130.83333333333334,17.232239936305735,11.348,47.758,95.846,0.3597359453545254,0.36969001148105624,3,0.003821656050955414,False,"failures,throughput,throttling"
multipod-n3-r03-20260802-211913,3,122,14640,0,0.0,1.0,122.0,11.734379576502732,10.705,16.381,37.306,0.32412084581953865,0.14867617107942974,3,0.03012295081967213,False,throttling
multipod-n3-r03-20260802-211913,3,135,15700,500,0.030864197530864196,0.9691358024691358,130.83333333333334,13.326230191082804,10.871,27.689,54.13,0.3610999753568165,0.24411764705882355,3,0.038980891719745225,False,"failures,throughput,throttling"
multipod-n3-r03-20260802-211913,3,149,15743,2137,0.11951901565995526,0.8804809843400447,131.19166666666666,18.644381756971352,11.361,52.3,121.535,0.3552170578624378,0.3978234582829504,3,0.028012449977767896,False,"failures,throughput,throttling"
multipod-adaptive-low-n3-r01-20260802-213218,3,110,13200,0,0.0,1.0,110.0,11.339610681818183,10.575,13.975,31.268,0.2883067344721761,0.10700389105058365,3,0.01659090909090909,False,throttling
multipod-adaptive-low-n3-r01-20260802-213218,3,115,13800,0,0.0,1.0,115.0,13.028967753623188,11.459,21.471,45.733,0.3234323153408209,0.1709486166007905,3,0.04586956521739131,False,throttling
multipod-adaptive-low-n3-r01-20260802-213218,3,120,14400,0,0.0,1.0,120.0,12.18182625,11.089,17.029,39.443,0.32331902136888646,0.1452991452991453,3,0.011458333333333333,False,throttling
multipod-adaptive-low-n3-r02-20260802-214308,3,110,13200,0,0.0,1.0,110.0,10.712025075757575,9.836,13.751,32.479,0.2600667036745222,0.06899999999999999,3,0.008863636363636363,True,
multipod-adaptive-low-n3-r02-20260802-214308,3,115,13800,0,0.0,1.0,115.0,10.774125289855073,10.3,13.373,25.263,0.29227422952092696,0.06861755802219979,3,0.012608695652173913,True,
multipod-adaptive-low-n3-r02-20260802-214308,3,120,14400,0,0.0,1.0,120.0,11.407136875,10.579,14.365,32.166,0.3103009007796373,0.10982658959537572,3,0.014583333333333334,False,throttling
multipod-adaptive-low-n3-r03-20260802-215355,3,110,13200,0,0.0,1.0,110.0,9.292502348484849,9.113,10.967,13.266,0.23804428672679182,0.015473887814313346,3,0.003181818181818182,True,
multipod-adaptive-low-n3-r03-20260802-215355,3,115,13800,0,0.0,1.0,115.0,9.60556188405797,9.283,11.55,15.731,0.2696121005617212,0.028856825749167588,3,0.022391304347826088,True,
multipod-adaptive-low-n3-r03-20260802-215355,3,120,14400,0,0.0,1.0,120.0,10.914580138888889,10.208,13.445,32.324,0.2971344062406407,0.08919202518363063,3,0.015208333333333334,True,
multipod-adaptive-final-n3-r01-20260802-222109,3,100,12000,0,0.0,1.0,100.0,10.798249083333333,10.164,13.996,26.615,0.2500923928221009,0.04610655737704918,3,0.0225,True,
multipod-adaptive-final-n3-r01-20260802-222109,3,105,12600,0,0.0,1.0,105.0,8.826965714285715,8.615,10.336,12.12,0.23220515972610048,0.00911854103343465,3,0.024285714285714285,True,
multipod-adaptive-final-n3-r02-20260802-222825,3,100,12000,0,0.0,1.0,100.0,10.4604785,9.886,13.609,25.037,0.25313502931498444,0.038183694530443756,3,0.04075,True,
multipod-adaptive-final-n3-r02-20260802-222825,3,105,12600,0,0.0,1.0,105.0,8.781949761904762,8.557,10.385,12.55,0.2220255364927576,0.006404391582799634,3,0.02261904761904762,True,
multipod-adaptive-final-n3-r03-20260802-223659,3,100,12000,0,0.0,1.0,100.0,9.892972333333335,9.474,12.453,16.136,0.23351701220898835,0.024137931034482755,3,0.0355,True,
multipod-adaptive-final-n3-r03-20260802-223659,3,105,12600,0,0.0,1.0,105.0,10.499845238095237,10.061,13.22,20.366,0.2485459428611638,0.044181034482758626,3,0.023809523809523808,True,
multipod-n4-r01-20260802-224532,4,162,15752,3688,0.1897119341563786,0.8102880658436215,131.26666666666668,11.348408202133061,10.362,14.405,38.735,0.25785274083920945,0.09912170639899623,4,0.03174200101574403,False,"failures,throughput"
