trace_id,mutation_id,decision_seq,decision_offset_ms,forecast_target_offset_ms,oracle_rps,forecast_rps,oracle_raw_replicas,forecast_raw_replicas,oracle_commanded_replicas,forecast_commanded_replicas,forecast_action,forecast_scale_down_held
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,57,57000,63000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,58,58000,64000,23.000000,33.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,59,59000,65000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,60,60000,66000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,61,61000,67000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,62,62000,68000,27.000000,37.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,63,63000,69000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,64,64000,70000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,65,65000,71000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,66,66000,72000,23.000000,33.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,67,67000,73000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,68,68000,74000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,69,69000,75000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,70,70000,76000,27.000000,37.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,71,71000,77000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,72,72000,78000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,73,73000,79000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,74,74000,80000,23.000000,33.000000,1,2,1,2,none,false
