run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,mae_rps,rmse_rps,transition_mae_rps,desired_replica_mae,deficient_replica_seconds,request_p99_latency_ms,slo_violation_seconds,excess_replica_seconds
final-p02-b-r03-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,3,False,2.9661016949152543,10.188893920442684,0.0,0.25,90,1673.67343,19,0
final-p03-a-r03-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,3,False,6.0344827586206895,14.532958974404494,0.0,0.6666666666666666,0,31.70364000000004,5,120
final-p04-b-r03-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,3,False,1.0126582278481011,2.8462722678592804,1.6,0.1375,0,32.98460999999998,64,66
final-p01-a-r03-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,3,False,5.0,5.0,5.0,0.5861111111111111,211,47.14305,13,0
final-p01-b-r03-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,3,False,5.0,5.0,5.0,0.0,0,34.80363000000001,13,0
final-p05-b-r03-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,3,False,0.2995643137254903,0.726681042587531,0.3386574566666668,0.0,0,31.92803,100,0
final-p02-a-r04-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,4,False,2.9661016949152543,10.188893920442684,17.5,0.25,0,34.32847000000001,23,90
final-p01-b-r04-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,4,False,5.0,5.0,5.0,0.0,0,33.15846000000001,7,0
final-oracle-ramp-r04-s0,step15,reference,reference-oracle,reference,oracle,gradual-ramp-v1,4,False,0.0,0.0,0.0,0.0,0,31.97953,54,0
final-p02-b-r04-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,4,False,2.9661016949152543,10.188893920442684,0.0,0.25,90,1516.5644900000016,17,0
final-oracle-sustain-r04-s0,step15,reference,reference-oracle,reference,oracle,sustained-peak-v1,4,False,0.0,0.0,0.0,0.0,0,37.46877000000002,8,0
final-p03-a-r04-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,4,False,6.0344827586206895,14.532958974404494,0.0,0.6666666666666666,0,32.36126000000007,8,120
final-p01-a-r04-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,4,False,5.0,5.0,5.0,0.5861111111111111,211,44.88485000000002,23,0
final-p05-a-r04-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,4,False,0.2995643137254903,0.7266810425875311,0.3386574566666668,0.0,0,31.60311999999998,98,0
final-p07-b-r04-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,4,False,4.022988505747127,11.86611131336418,35.0,0.3333333333333333,30,3780.813260000001,14,30
final-p06-a-r04-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,4,False,6.5294117815126045,7.361835586127132,7.653333353333332,0.4583333333333333,165,31.585069999999988,104,165
final-oracle-periodic-r04-s0,step15,reference,reference-oracle,reference,oracle,periodic-triangle-v1,4,False,0.0,0.0,0.0,0.0,0,28.54924999999996,96,0
final-p07-a-r04-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,4,False,4.022988505747127,11.86611131336418,0.0,0.3333333333333333,30,23.840340000000005,4,30
final-p06-b-r04-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,4,False,6.5294117815126045,7.361835586127132,7.667916686666666,0.4583333333333333,165,32.956079999999986,98,165
final-p04-b-r04-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,4,False,1.0126582278481011,2.8462722678592804,1.6,0.1375,0,30.32373999999988,62,66
